set,target_name,instrument,provenance,filters_grating,observation_mode,exposure_time_s,proposal_id,proposal_pi,release_date,obs_id,obsid,calib_level,wavelength_region
JWST,NGTS-10,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),21050.52,2158,"Parmentier, Vivien",2024-03-12,jw02158001001_04101_00001-seg002_nrs2,118404585,2,INFRARED
JWST,NGTS-10,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),21050.52,2158,"Parmentier, Vivien",2024-03-12,jw02158001001_04102_00001-seg002_nrs2,118404587,2,INFRARED
JWST,NGTS-10,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),21050.52,2158,"Parmentier, Vivien",2024-03-13,jw02158001001_04103_00001-seg002_nrs2,118404588,2,INFRARED
JWST,NGTS-10,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),21050.52,2158,"Parmentier, Vivien",2024-03-12,jw02158001001_04103_00001-seg001_nrs2,118404589,2,INFRARED
JWST,NGTS-10,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),21050.52,2158,"Parmentier, Vivien",2024-03-12,jw02158001001_04101_00001-seg003_nrs2,118404592,2,INFRARED
JWST,NGTS-10,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),21050.52,2158,"Parmentier, Vivien",2024-03-12,jw02158001001_04102_00001-seg001_nrs2,118404593,2,INFRARED
JWST,NGTS-10,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),21050.52,2158,"Parmentier, Vivien",2024-03-13,jw02158-o001_t001_nirspec_clear-prism-s1600a1-sub512,233650011,3,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),19889.1,2319,"Hooton, Matthew",2024-08-07,jw02319-o001_t001_nirspec_f290lp-g395m-s1600a1-sub2048,233595453,3,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),17028.858,2319,"Hooton, Matthew",2024-07-19,jw02319-o003_t001_nirspec_f290lp-g395m-s1600a1-sub2048,233595466,3,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),17028.858,2319,"Hooton, Matthew",2024-07-19,jw02319003001_04102_00001-seg001_nrs2,155217437,2,INFRARED
JWST,TOI-178,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),17028.858,2319,"Hooton, Matthew",2024-07-18,jw02319003001_04102_00001-seg002_nrs2,225984664,2,INFRARED
