set,file_name,product_type,product_subgroup,calib_level,size_bytes,data_uri,parent_obsid
JWST,jw01442001001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg004_nrcalong_x1dints.fits,87598234
JWST,jw01442001001_04103_00001-seg006_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg006_nrcalong_x1dints.fits,87598234
JWST,jw01442001001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,37258560,mast:JWST/product/jw01442001001_04103_00001-seg001_nrcalong_x1dints.fits,87598234
JWST,jw01442-o001_t001_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,SCIENCE,WHTLT,3,43227,mast:JWST/product/jw01442-o001_t001_nircam_f322w2-grismr-subgrism128_whtlt.ecsv,87598234
JWST,jw01442-o001_t001_nircam_f322w2-grismr-subgrism128_x1dints.fits,SCIENCE,X1DINTS,3,223251840,mast:JWST/product/jw01442-o001_t001_nircam_f322w2-grismr-subgrism128_x1dints.fits,87598234
JWST,jw01274004001_04103_00001-seg005_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206112960,mast:JWST/product/jw01274004001_04103_00001-seg005_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg011_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206112960,mast:JWST/product/jw01274004001_04103_00001-seg011_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg008_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206112960,mast:JWST/product/jw01274004001_04103_00001-seg008_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg009_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206112960,mast:JWST/product/jw01274004001_04103_00001-seg009_nrcalong_x1dints.fits,87680034
JWST,jw01274004001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,206398080,mast:JWST/product/jw01274004001_04103_00001-seg001_nrcalong_x1dints.fits,87680034
